PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Byron Scott,LAL,36,8,4,4,16.7,6.4,1.9,4.1,45.5,0.5,1.4,36.4,2.1,2.4,89.5,0,1.5,1.5,1.4,1,0.1,0,1.9,9.6,0,0,8.6
Darrell Armstrong,ORL,29,5,2,3,28.7,11.4,4,8.4,47.6,1.2,3.6,33.3,2.2,2.6,84.6,0.6,3.6,4.2,3.4,1.4,1.6,0.2,1.2,25.5,0,0,7.2
Michael Jordan,CHI,34,19,15,4,42.3,31.1,11.9,26.2,45.6,0.7,3.5,19.4,6.5,7.8,83.1,2.2,5.7,7.9,4.8,2.6,1.6,0.9,2.4,52.6,4,0,7.2
Charlie Ward,NYK,26,9,6,3,20.3,2.2,0.9,3,29.6,0.1,1,11.1,0.3,0.4,75,0.3,2.4,2.8,4.3,1.7,1.6,0,2,15.1,0,0,6.6
Jerome Kersey,LAL,35,9,4,5,23.3,5.4,1.9,3.9,48.6,0,0.1,0,1.7,2.1,78.9,1.6,3.8,5.3,1.6,0.3,1,0.7,3.8,18.8,0,0,6.4
Scottie Pippen,CHI,31,19,15,4,39.6,19.2,6.8,16.3,41.7,2.1,5.9,34.5,3.6,4.5,79.1,1.9,4.9,6.8,3.8,2.9,1.5,0.9,2.6,37.4,3,0,6.4
Jerome Williams,DET,24,1,0,1,5.3,4,2,2,100,0,0,0,0,0,0,0,3,3,0,1,1,0,0,9.6,0,0,6
Ron Harper,CHI,33,19,15,4,27.1,7.5,2.6,6.6,40,1.1,3.2,34.4,1.1,1.5,75,1.1,3.2,4.3,3,0.6,1.3,0.7,2.3,22.5,0,0,5.8
Greg Ostertag,UTA,24,20,13,7,23,4.7,1.7,4.2,41,0,0,0,1.3,1.8,74.3,2.6,4.3,6.9,0.3,0.9,0.5,2.4,3.8,21,3,0,5.3
Hersey Hawkins,SEA,30,12,6,6,40.4,15.3,5.2,11,47,2.3,4.9,45.8,2.7,2.9,91.4,1.4,3.1,4.5,2.8,1.8,2.5,0.3,2.7,31.7,1,0,5.2
Karl Malone,UTA,33,20,13,7,40.8,26,9.4,21.5,43.5,0.1,0.1,50,7.2,10,72,3,8.4,11.4,2.9,2.7,1.4,0.8,3,47.5,16,0,5.1
Larry Stewart,SEA,28,4,4,0,4,3.3,1.3,1.5,83.3,0.3,0.5,50,0.5,0.5,100,0,0.3,0.3,0.5,0.5,0.5,0.3,1,6.1,0,0,5
Jeff Hornacek,UTA,34,20,13,7,35.2,14.6,4.5,10.4,43.3,1,2.7,35.8,4.6,5.3,87.6,1.1,3.4,4.5,3.7,1.8,1.1,0.2,2.7,27.3,0,0,4.8
Jim McIlvaine,SEA,24,5,3,2,5.5,1.8,0.8,1.4,57.1,0,0,0,0.2,0.4,50,0.2,0.2,0.4,0,0.2,0.2,0.4,1.4,3.9,0,0,4.8
Amal McCaskill,ORL,23,2,0,2,3.4,2.5,1,1.5,66.7,0,0,0,0.5,1.5,33.3,0,1.5,1.5,0.5,0,0,0,0.5,5.1,0,0,4.5
Gary Payton,SEA,28,12,6,6,45.6,23.8,8.8,21.3,41.2,2.1,6.3,33.3,4.2,5.1,82,1.7,3.8,5.4,8.7,2.9,2.2,0.3,2.2,47.8,5,0,4.3
Terry Cummings,SEA,36,12,6,6,24.4,8.8,3.8,7.7,48.9,0,0,0,1.3,2,66.7,2.3,3.7,6,1.2,1.2,0.9,0.5,3.3,20.9,0,0,4.3
Clyde Drexler,HOU,35,16,9,7,39.1,18.1,6.6,15.1,43.6,2.4,6.4,37.3,2.6,3.4,77.8,1.6,4,5.6,4.8,2.3,1.6,0.4,3.3,36,0,0,4
