PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Dennis Rodman,CHI,36,55,48,7,35.4,5.7,2.3,5.2,44.8,0.1,0.3,26.3,0.9,1.6,56.8,5.8,10.2,16.1,3.1,2,0.6,0.3,3.1,30.3,11,0,10.4
Michael Jordan,CHI,34,82,69,13,37.9,29.6,11.2,23.1,48.6,1.4,3.6,37.4,5.9,7,83.3,1.4,4.5,5.9,4.3,2,1.7,0.5,1.9,47.8,9,1,10
Scottie Pippen,CHI,31,82,69,13,37.7,20.2,7.9,16.7,47.4,1.9,5.2,36.8,2.5,3.5,70.1,2,4.5,6.5,5.7,2.6,1.9,0.5,2.6,41.2,14,0,9.9
Jeff Hornacek,UTA,34,82,64,18,31.6,14.5,5,10.4,48.3,0.9,2.4,36.9,3.6,4,89.9,0.7,2.2,2.9,4.4,1.6,1.5,0.3,2.3,28.5,1,0,9.5
Karl Malone,UTA,33,82,64,18,36.6,27.4,10.5,19.2,55,0,0.2,0,6.4,8.4,75.5,2.4,7.5,9.9,4.5,2.8,1.4,0.6,2.6,49,43,1,9.4
Bryon Russell,UTA,26,81,63,18,31.3,10.8,3.7,7.7,47.9,1.3,3.3,40.9,2.1,3,70.1,1,3.1,4.1,1.5,1.2,1.6,0.3,2.9,22.6,3,0,8.4
Toni Kukoc,CHI,28,57,50,7,28.3,13.2,5,10.6,47.1,0.9,2.6,33.1,2.4,3.1,77,1.6,2.9,4.6,4.5,1.6,1.1,0.5,1.7,28.5,5,0,8.3
Detlef Schrempf,SEA,34,61,43,18,35.9,16.8,5.8,11.9,49.2,0.9,2.6,35.4,4.1,5.2,80.1,1.4,5,6.5,4.4,2.5,1,0.3,2.5,32.5,6,0,8.1
John Stockton,UTA,35,82,64,18,35.3,14.4,5.1,9.3,54.8,0.9,2.2,42.2,3.4,4,84.6,0.5,2.2,2.8,10.5,3,2,0.2,2.4,37.1,41,0,8
Gary Payton,SEA,28,82,57,25,39.2,21.8,8.6,18.1,47.6,1.5,4.6,31.3,3.1,4.3,71.5,1.3,3.3,4.6,7.1,2.6,2.4,0.2,2.5,43,19,2,7.6
Mookie Blaylock,ATL,30,78,53,25,39.2,17.4,6.4,14.9,43.2,2.8,7.7,36.6,1.7,2.2,75.3,1.5,3.8,5.3,5.9,2.4,2.7,0.3,1.8,39.2,14,0,7.5
Greg Ostertag,UTA,24,77,60,17,23.6,7.3,2.7,5.3,51.5,0,0.1,0,1.8,2.7,67.8,2.3,5,7.3,0.4,1,0.3,2,3,22.5,13,0,7.3
Christian Laettner,ATL,27,82,56,26,38.2,18.1,6.7,13.8,48.6,0.4,1.1,35.2,4.4,5.4,81.6,2.6,6.2,8.8,2.7,2.7,1.2,0.8,3.4,36.2,31,0,7.1
Alonzo Mourning,MIA,27,66,49,17,35.2,19.8,7.2,13.4,53.4,0,0.1,11.1,5.5,8.6,64.2,2.9,7.1,9.9,1.6,3.4,0.8,2.9,4.1,41.9,32,0,7
Tim Hardaway,MIA,30,81,60,21,38.8,20.3,7.1,17.1,41.5,2.5,7.3,34.4,3.6,4.5,79.9,0.6,2.8,3.4,8.6,2.8,1.9,0.1,2,40.3,25,0,6.7
Hersey Hawkins,SEA,30,82,57,25,33.6,13.9,4.5,9.7,46.4,1.7,4.3,40.3,3.1,3.6,87.5,1.1,2.8,3.9,3,1.6,1.9,0.1,1.8,27.8,1,0,6.6
,,,1,1,0,27.3,5,1,4,25,0,1,0,3,4,75,0,3,3,3,1,0,0,0,12.1,0,0,6
Charles Barkley,HOU,34,53,41,12,37.9,19.2,6.3,13.1,48.4,1.1,3.9,28.3,5.4,7.8,69.4,4,9.5,13.5,4.7,2.8,1.3,0.5,2.9,44.9,37,1,6
Terry Mills,DET,29,79,52,27,25.3,10.8,3.9,8.9,44.4,2.2,5.3,42.2,0.7,0.9,82.9,0.9,3.9,4.8,1.3,1.1,0.4,0.3,2,19.7,3,0,6
Tyrone Corbin,ATL,34,70,49,21,33,9.5,3.6,8.6,42.2,1.1,3,35.6,1.2,1.5,79.6,1.1,3.1,4.2,1.8,1.2,1.3,0.1,2.5,20.2,1,0,6
Clyde Drexler,HOU,35,62,46,16,36.6,18,6.4,14.5,44.2,1.9,5.4,35.5,3.2,4.3,75,1.9,4.1,6,5.7,2.5,2,0.6,2.4,38.8,10,3,5.9
Nate McMillan,SEA,32,37,25,12,21.7,4.6,1.6,4,40.9,0.8,2.3,33.3,0.5,0.8,65.5,0.4,2.8,3.2,3.8,0.9,1.6,0.2,2.1,18.4,0,0,5.9
Shawn Kemp,SEA,27,81,56,25,34,18.7,6.5,12.7,51,0.1,0.4,36.4,5.6,7.5,74.2,3.4,6.6,10,1.9,3.5,1.5,1,4,37.7,44,0,5.7
Ron Harper,CHI,33,76,64,12,22.9,6.3,2.3,5.3,43.6,0.9,2.5,36.2,0.8,1.1,70.7,0.6,1.9,2.5,2.5,0.7,1.1,0.5,1.8,17.4,0,0,5.5
